movie_download_url,title
,
magnet:?xt=urn:btih:K5QGWFF6PGS7LFF2XNMOSZRSSVU5ICSN&tr=http://bt.dl1234.com/announce,2018年美�?.2分动作片《复仇者联�?：无限战争》BD中英双字
,
magnet:?xt=urn:btih:XT6BJHDJCQA6CHM2S3HRK7MRJ7CCPU6Z&tr=http://bt.dl1234.com/announce,2017年香港喜剧片《我的外星女友》HD高清国粤双语中字
,
magnet:?xt=urn:btih:6VXMMHAB6HSAJIA7ST44WDAWWZAC5DFV&tr=http://bt.dl1234.com/announce,2018年美国动作片《救世超能：永无止境》BD中英双字
,
magnet:?xt=urn:btih:GJKJBJRM2B67NTVGNJFEH3RAC3ATPOSN&tr=http://bt.dl1234.com/announce,2017年欧�?.7分剧情片《木星之卫》BD中字
,
magnet:?xt=urn:btih:HZNVZG6HUDAJ5JQF32XHRUOMW37LQZ5G&tr=http://bt.dl1234.com/announce,2018年美国科幻片《华�?51》BD中英双字
,
magnet:?xt=urn:btih:NT7PHJZ6SQ62JKEBFINRL4IYKJU6LC7B&tr=http://bt.dl1234.com/announce,2017年欧美动作片《血战机械人》BD中英双字
,
magnet:?xt=urn:btih:VEXUFGG7QCVBFDHOPTXQZ5STNDRE3MOE&tr=http://bt.dl1234.com/announce,2018年欧美动作片《炮火将至》BD中英双字
,
magnet:?xt=urn:btih:4P3BMSH524APQGEZGLFASPK7YZJIVCZX&tr=http://bt.dl1234.com/announce,2018年欧�?.9分科幻片《湮灭》BD国英双语中英双字
,
magnet:?xt=urn:btih:VFJI3ZDGR7QOFFIOX6FMTEBF62AOR4VX&tr=http://bt.dl1234.com/announce,2018年美�?.7分动作片《黑豹》BD国英双语中英双字
,
magnet:?xt=urn:btih:CYI3JLURFGWEFER7EZGKMENCPQGQQRUV&tr=http://bt.dl1234.com/announce,2018年美国科幻片《时间的皱折》BD中英双字
,
magnet:?xt=urn:btih:ZMBL2VVAWNNXA2JMHEND55FCHLXCGMUD&tr=http://bt.dl1234.com/announce,2018年欧�?.2分科幻片《匿名者》BD中字
,
magnet:?xt=urn:btih:77NKXMGAQBTUH46F5PSXFV2ZBP4IZRI4&tr=http://bt.dl1234.com/announce,2018年美国科幻片《未来世界》BD中英双字
,
magnet:?xt=urn:btih:PQRDVLNZRWHJ2LIQYYOOCGPRDAAIZ525&tr=http://bt.dl1234.com/announce,2017年英�?.0分科幻片《大屠杀：吞噬过去》HD中英双字
,
magnet:?xt=urn:btih:BZF7BOUIDSNOZX3EAS6GOJCW6YJ4AJSQ&tr=http://bt.dl1234.com/announce,2017年英国科幻片�?036来历不明》BD中英双字
,
magnet:?xt=urn:btih:CG7QBAF55BPEAZQRMISBKMPXN4YDNRMM&tr=http://bt.dl1234.com/announce,2018年美国科幻片《智慧囚屋》BD中字
,
magnet:?xt=urn:btih:6TXW6FZRL6ARIHYD5ENUPN5WHRL3LE6C&tr=http://bt.dl1234.com/announce,2018年美�?.9分动作片《头号玩家》BD中英双字
,
magnet:?xt=urn:btih:Q34VR6K7VDH4BUFMHF2OO5IDWQUSSXBY&tr=http://bt.dl1234.com/announce,2018年美国科幻片《泰坦》BD中英双字
,
magnet:?xt=urn:btih:CEGNKCAMWF3QGB3U6B4P4WJYPKBF5FMZ&tr=http://bt.dl1234.com/announce,2018年美国动作片《深海狂�?》BD中英双字
,
magnet:?xt=urn:btih:5OL7SJ6R734NIECPPOJSZ3NFAA4WYMP7&tr=http://bt.dl1234.com/announce,2018年美国科幻片《人工智能：灭绝危机》BD中英双字
,
magnet:?xt=urn:btih:TY3QYAT5SPFVFRZXN5HII2TVCUVJZV34&tr=http://bt.dl1234.com/announce,2018年美国动作片《异形魔怪：极寒之日》BD中英双字
,
magnet:?xt=urn:btih:2BKULLCPVCYSNR4JINAYV7FKVY7OC7HU&tr=http://bt.dl1234.com/announce,2018年美�?.7分动作片《狂暴巨兽》BD中英双字
,
magnet:?xt=urn:btih:CD2UNTCIQYJTFOBHVEEBCS4C3LW3D63K&tr=http://bt.dl1234.com/announce,2017年美�?.6分科幻片《无尽》BD中英双字
,
magnet:?xt=urn:btih:URBS73KBIMUHX7IGI5GJTLB2DA572A6Q&tr=http://bt.dl1234.com/announce,2017年欧美科幻片《第三波》BD中字
,
magnet:?xt=urn:btih:Q76YOAXIWMHEJCGGNDGQXZWAIXO2JCCB&tr=http://bt.dl1234.com/announce,2017年美国科幻片《第5名乘客》BD中英双字
,
magnet:?xt=urn:btih:UUSOJX5NAMD4SLANKVJCSPWS3NTBZPMS&tr=http://bt.dl1234.com/announce,2018年国产动画片《吃货宇宙》HD国语中字
,
magnet:?xt=urn:btih:GZ4LI5ZUWQNAPJDKZAMITAJJ7RUPDNXN&tr=http://bt.dl1234.com/announce,2018年美�?.0分爱情片《佐伊》BD中英双字
,
magnet:?xt=urn:btih:OL3WAUP2HA32GH7VIWJNC3RBSNMW7KCT&tr=http://bt.dl1234.com/announce,2018年澳大利亚动作片《占领》BD中英双字
,
magnet:?xt=urn:btih:YGM5AGGH273B6REXSNMJX2YOKQBLLGFW&tr=http://bt.dl1234.com/announce,2018年美�?.9分动作片《死�?》HD韩版中英双字
,
magnet:?xt=urn:btih:SAUT6TJNLRGTRIMQCHVF6D4F746TYH2L&tr=http://bt.dl1234.com/announce,2018年美�?.0分科幻片《灭绝》BD中字
,
magnet:?xt=urn:btih:O64XBANB4HWEE2OGQCEHPULXIONQOAIA&tr=http://bt.dl1234.com/announce,2018年欧�?.9分科幻片《侏罗纪世界2》HD韩版中英双字
